Word,Orthography w/ tones,IPA,English,Spanish,Tone Melody,Syllable Structure,Phonation Type,Part of Speech,Semantic Domain,Speaker,Sound File,Notes,Checked?,Need
kie'e,kiè'è,[kʲèˀè],outside,afuera,LL,CV?V,glottalized,adjective,landscape and environment,,afuera.wav,,,
kije,kìjě,[kìʰě],our names,nuestros nombres,LR,CVhV,aspirated,noun,,LA,LA_NuestrosNombres.wav,Said,,
kiji,kìjî,[kìʰî],day/name,día/nombre,LF,CVhV,aspirated,noun,,LA,LA_DiaNombre.wav,"cf tones from ""Asi se hizo la brecha""",,Tones
kiji,kìjî,[kìʰî],my name,mi nombre,LF,CVhV,aspirated,noun,,LA,LA_MiNombre.wav,Said,,
kiji nuun,kìjǐ nùún,,the first day of,el primer día de,,CVhV CVV,aspirated,noun,times and seasons,RDC,RDC_ElPrimerDia.wav,Said,,
kijun,kìjǔn,[kìʰǔn],your name,tu nombre,LR,CVhV,aspirated,noun,,LA,LA_TuNombre.wav,Said,,
kimi,kimi,[kimi],star,lucero,MM,CVCV,modal,noun,landscape and environment,NGC,lucero.wav,,,
kini,kini,[kĩī],ugly,feo,MM,CVV,modal,adjective,descriptions,,,,,Transcription
kinin,kînìn,[kînĩ̀],pig,puerco,FL,CVCV,modal,noun,domesticated animals,,cerdo.wav,puerco.wav,,
kinin yuku,kînìn yūkǔ,[kînĩ̀ jūkǔ],wild boar,jabalí,FL MR,CVCV CVCV,modal,noun,wild animals,JGO,,,,
kintojo,kìntòjo,[kìⁿtòʰo],stay (completive),permanecer (completive),LLM,CVCVhV,aspirated,verb (completive),Actions and activities,,,,,
kintojo,kíntòjo,[kíⁿtòʰo],stay (continuative),permanecer (continuative),HLM,CVCVhV,aspirated,verb (continuative),Actions and activities,,,,,
kintojo,kintòjo,[kiⁿtòʰo],stay (potential),permanecer (potential),MLM,CVCVhV,aspirated,verb (potential),Actions and activities,,,,,
kintsika,kintsīkà,,chest,pecho,,,,noun,body parts and the body,,,,,Check Duplicate
kisi,kìsi,[kìsi],pot,olla,LM,CVCV,modal,noun,"food, drink, and cooking",LA,LA_Olla.wav,Said,,
